id,s_time,e_time,query,merge_type,length
2YXJO_D8HN1_5DEHA_CVPFH_7VMDP,7.6,13.9,when another person runs in with a broom.,Same Scene,138.54
2YXJO_D8HN1_5DEHA_CVPFH_7VMDP,33.03,38.93,person eat a sandwich they walk out of the bathroom.,Same Scene,138.54
2YXJO_D8HN1_5DEHA_CVPFH_7VMDP,33.03,38.93,person eating a sandwich in front of a mirror.,Same Scene,138.54
2YXJO_D8HN1_5DEHA_CVPFH_7VMDP,49.73,54.73,person use their foot to close the door.,Same Scene,138.54
2YXJO_D8HN1_5DEHA_CVPFH_7VMDP,49.73,54.73,person close a door with their feet.,Same Scene,138.54
2YXJO_D8HN1_5DEHA_CVPFH_7VMDP,60.95,67.15,other person wakes up on floor sneezing.,Same Scene,138.54
2YXJO_D8HN1_5DEHA_CVPFH_7VMDP,57.05,68.55,awakening another person who starts sneezing.,Same Scene,138.54
2YXJO_D8HN1_5DEHA_CVPFH_7VMDP,77.87,91.07,a person turns on a light.,Same Scene,138.54
2YXJO_D8HN1_5DEHA_CVPFH_7VMDP,96.47,112.17,person starts undressing.,Same Scene,138.54
2YXJO_D8HN1_5DEHA_CVPFH_7VMDP,77.87,91.07,a person is working on the light in a bathroom.,Same Scene,138.54
2YXJO_D8HN1_5DEHA_CVPFH_7VMDP,77.87,91.07,"person looking into the mirror,adjust the lights above the mirror.",Same Scene,138.54
2YXJO_D8HN1_5DEHA_CVPFH_7VMDP,99.87,112.27,person putting their clothes on a shelf.,Same Scene,138.54
2YXJO_D8HN1_5DEHA_CVPFH_7VMDP,121.82,127.72,person puts a box on the table.,Same Scene,138.54
T6OAB_O5JIS_LBT7P,21.0,26.0,person decided to grasp the light switch.,Same Scene,82.55
T6OAB_O5JIS_LBT7P,0.0,5.8,a person opens the medicine cabinet doors.,Same Scene,82.55
T6OAB_O5JIS_LBT7P,21.0,26.0,the person flicks the light switch.,Same Scene,82.55
T6OAB_O5JIS_LBT7P,51.78,58.18,the person at the sink takes some medicine.,Same Scene,82.55
T6OAB_O5JIS_LBT7P,64.18,71.38,a person is throwing a pillow at a picture.,Same Scene,82.55
T6OAB_O5JIS_LBT7P,64.18,71.38,a person throws a pillow.,Same Scene,82.55
KVONB_9R4AQ,0.0,9.0,a person opens up a window.,Same Scene,55.38
KVONB_9R4AQ,21.5,27.8,person puts clothes on the vanity.,Same Scene,55.38
KVONB_9R4AQ,26.96,31.66,a person standing drinking a glass of water.,Same Scene,55.38
KVONB_9R4AQ,26.96,31.66,the person drinks from the glass of water.,Same Scene,55.38
KU656_I0HIX_FDNWD_ZX1R7_OXC4X,0.0,7.3,a person awakens in bed.,Same Scene,134.59
KU656_I0HIX_FDNWD_ZX1R7_OXC4X,21.88,29.28,a person is working on a laptop on a desk.,Same Scene,134.59
KU656_I0HIX_FDNWD_ZX1R7_OXC4X,21.88,29.28,a person sits at their desk working on their laptop.,Same Scene,134.59
KU656_I0HIX_FDNWD_ZX1R7_OXC4X,47.71,57.21,person standing in the doorway sneezing several times in elbow.,Same Scene,134.59
KU656_I0HIX_FDNWD_ZX1R7_OXC4X,47.71,57.21,a person is sneezing.,Same Scene,134.59
KU656_I0HIX_FDNWD_ZX1R7_OXC4X,83.98,91.38,one person takes a pillow.,Same Scene,134.59
KU656_I0HIX_FDNWD_ZX1R7_OXC4X,103.31,110.11,person gets dressed.,Same Scene,134.59
KU656_I0HIX_FDNWD_ZX1R7_OXC4X,103.31,110.11,person they get dressed.,Same Scene,134.59
KU656_I0HIX_FDNWD_ZX1R7_OXC4X,97.21,105.01,a person takes some clothes from a shelf.,Same Scene,134.59
KSDFR_EOELV_M02OO,19.5,26.9,this person pours something in a glass.,Same Scene,85.58
KSDFR_EOELV_M02OO,30.92,44.02,a person awakens.,Same Scene,85.58
KSDFR_EOELV_M02OO,58.25,63.15,another person is laughing in a doorway.,Same Scene,85.58
KFZ55_ZRRC8,0.2,7.2,person drinking from their morning cup of coffee.,Same Scene,51.37
KFZ55_ZRRC8,42.45,48.45,person takes a book.,Same Scene,51.37
KFZ55_ZRRC8,29.35,37.65,a person awakens in bed.,Same Scene,51.37
KFZ55_ZRRC8,44.15,52.75,person they look at the book they are holding.,Same Scene,51.37
82XWA_C1F1D_V25D1_LNWWJ_PW3GG,0.0,10.2,a person is awakening.,Same Scene,126.87
82XWA_C1F1D_V25D1_LNWWJ_PW3GG,40.88,54.08,person talk on a phone.,Same Scene,126.87
82XWA_C1F1D_V25D1_LNWWJ_PW3GG,36.88,41.38,person the put the cup down.,Same Scene,126.87
82XWA_C1F1D_V25D1_LNWWJ_PW3GG,24.08,29.78,person drinking a cup of coffee.,Same Scene,126.87
82XWA_C1F1D_V25D1_LNWWJ_PW3GG,40.88,54.08,person starts talking on phone.,Same Scene,126.87
82XWA_C1F1D_V25D1_LNWWJ_PW3GG,53.2,60.4,a person is undressing in front of a mirror.,Same Scene,126.87
82XWA_C1F1D_V25D1_LNWWJ_PW3GG,61.8,67.6,person begin to eat the sandwich.,Same Scene,126.87
82XWA_C1F1D_V25D1_LNWWJ_PW3GG,61.8,67.6,person eating a sandwich.,Same Scene,126.87
82XWA_C1F1D_V25D1_LNWWJ_PW3GG,53.2,60.4,a person undresses in front of a mirror.,Same Scene,126.87
82XWA_C1F1D_V25D1_LNWWJ_PW3GG,85.84,91.14,person throwing a pillow onto a chair.,Same Scene,126.87
82XWA_C1F1D_V25D1_LNWWJ_PW3GG,85.84,91.14,person throws down a pillow.,Same Scene,126.87
82XWA_C1F1D_V25D1_LNWWJ_PW3GG,120.66,126.76,person they open the door.,Same Scene,126.87
NY5LX_2ODLD_646CU_CRW0G_BRLC0,19.8,36.0,person putting clothes in a bag in a wardrobe.,Same Scene,140.17
NY5LX_2ODLD_646CU_CRW0G_BRLC0,34.5,44.8,a person is sitting in the walk in closet undressing.,Same Scene,140.17
NY5LX_2ODLD_646CU_CRW0G_BRLC0,63.24,68.84,person is holding a light.,Same Scene,140.17
NY5LX_2ODLD_646CU_CRW0G_BRLC0,63.24,68.84,the person starts playing with a light.,Same Scene,140.17
NY5LX_2ODLD_646CU_CRW0G_BRLC0,84.79,88.29,a person is sneezing into a mirror.,Same Scene,140.17
NY5LX_2ODLD_646CU_CRW0G_BRLC0,102.39,112.79,person drinks from the glass.,Same Scene,140.17
NY5LX_2ODLD_646CU_CRW0G_BRLC0,125.25,130.95,another person eating sandwich.,Same Scene,140.17
PZD7Z_KNN3G_DTJ6B,0.0,4.9,a person is sitting in a chair holding a broom.,Same Scene,83.38
PZD7Z_KNN3G_DTJ6B,9.5,17.6,person the put the broom down.,Same Scene,83.38
PZD7Z_KNN3G_DTJ6B,9.5,17.6,the person puts down the broom.,Same Scene,83.38
PZD7Z_KNN3G_DTJ6B,38.37,49.67,person pouring a cup of coffee.,Same Scene,83.38
PZD7Z_KNN3G_DTJ6B,50.37,58.67,person eating food in a dining room.,Same Scene,83.38
PZD7Z_KNN3G_DTJ6B,50.07,58.67,person take some food from a plate.,Same Scene,83.38
PZD7Z_KNN3G_DTJ6B,38.37,49.67,person pours some coffee into a glass.,Same Scene,83.38
PZD7Z_KNN3G_DTJ6B,50.37,58.67,person begin eating.,Same Scene,83.38
PZD7Z_KNN3G_DTJ6B,57.88,63.58,a person walks through the doorway.,Same Scene,83.38
V34GF_C7V0X,12.9,20.4,person they put the glass on a counter.,Same Scene,49.25
V34GF_C7V0X,12.9,20.4,the person puts the empty glass down on a desk.,Same Scene,49.25
V34GF_C7V0X,20.83,25.43,a person is throwing a pillow on the sofa.,Same Scene,49.25
V34GF_C7V0X,33.43,39.93,person drink from a cup.,Same Scene,49.25
V34GF_C7V0X,20.83,25.43,a person in a dining room throws a pillow.,Same Scene,49.25
2LMQF_857S9,13.8,22.9,person they pour water into a cup.,Same Scene,63.25
2LMQF_857S9,0.0,13.2,person eating a sandwich.,Same Scene,63.25
2LMQF_857S9,0.0,13.2,a person is sitting at the table eating a sandwich.,Same Scene,63.25
2LMQF_857S9,0.0,13.2,a person is eating a sandwich.,Same Scene,63.25
2LMQF_857S9,13.8,22.9,person they pour water into another glass.,Same Scene,63.25
2LMQF_857S9,28.75,36.65,the person is sitting at a dining room table smiling.,Same Scene,63.25
2LMQF_857S9,28.75,36.65,person begins smiling.,Same Scene,63.25
5LFGO_JELL2_TZF0X_A3AV0_144JW,0.0,15.6,a person fixes a vacuum.,Same Scene,139.89
5LFGO_JELL2_TZF0X_A3AV0_144JW,17.1,24.4,person they finish dressing by putting on a cap.,Same Scene,139.89
5LFGO_JELL2_TZF0X_A3AV0_144JW,36.67,45.87,a person is laughing.,Same Scene,139.89
5LFGO_JELL2_TZF0X_A3AV0_144JW,36.67,47.87,person smiling in front of a window.,Same Scene,139.89
5LFGO_JELL2_TZF0X_A3AV0_144JW,64.04,70.84,person puts down her bag.,Same Scene,139.89
5LFGO_JELL2_TZF0X_A3AV0_144JW,70.94,75.54,person takes her shoes off.,Same Scene,139.89
5LFGO_JELL2_TZF0X_A3AV0_144JW,62.94,70.94,person holding a bag of clothes.,Same Scene,139.89
5LFGO_JELL2_TZF0X_A3AV0_144JW,105.55,112.05,person proceeds to open the door.,Same Scene,139.89
5LFGO_JELL2_TZF0X_A3AV0_144JW,105.55,112.05,one person reaches for the doorknob to open the door.,Same Scene,139.89
5LFGO_JELL2_TZF0X_A3AV0_144JW,111.47,115.17,a person is sneezing into a towel.,Same Scene,139.89
5LFGO_JELL2_TZF0X_A3AV0_144JW,111.47,115.17,person sneezing into a towel repeatedly.,Same Scene,139.89
PROQY_IGVLE_B3RHF_CCN3E_S67WR,0.0,3.0,one person runs into the entryway with a towel.,Same Scene,133.33
PROQY_IGVLE_B3RHF_CCN3E_S67WR,54.57,60.67,person take a picture.,Same Scene,133.33
PROQY_IGVLE_B3RHF_CCN3E_S67WR,39.27,54.77,person starts undressing.,Same Scene,133.33
PROQY_IGVLE_B3RHF_CCN3E_S67WR,55.67,60.67,person takes out a cell phone.,Same Scene,133.33
PROQY_IGVLE_B3RHF_CCN3E_S67WR,74.49,80.29,person eats food.,Same Scene,133.33
PROQY_IGVLE_B3RHF_CCN3E_S67WR,74.49,80.29,person they start eating it.,Same Scene,133.33
PROQY_IGVLE_B3RHF_CCN3E_S67WR,87.35,97.45,person but stops to watch themselves in the mirror.,Same Scene,133.33
PROQY_IGVLE_B3RHF_CCN3E_S67WR,128.68,134.58,person opens the door to leave.,Same Scene,133.33
PROQY_IGVLE_B3RHF_CCN3E_S67WR,128.68,134.58,person open a door.,Same Scene,133.33
ZEID0_YVOM4_SSUZA_MAO8N_YXBXH,0.0,4.0,one person is sneezing on homework.,Same Scene,141.25
ZEID0_YVOM4_SSUZA_MAO8N_YXBXH,36.06,45.26,person runs back out.,Same Scene,141.25
ZEID0_YVOM4_SSUZA_MAO8N_YXBXH,36.06,45.26,another person run in.,Same Scene,141.25
ZEID0_YVOM4_SSUZA_MAO8N_YXBXH,63.8,74.9,person try to open the window.,Same Scene,141.25
ZEID0_YVOM4_SSUZA_MAO8N_YXBXH,103.71,115.71,a person is putting a towel in a box.,Same Scene,141.25
ZEID0_YVOM4_SSUZA_MAO8N_YXBXH,103.71,115.71,person putting it in a box.,Same Scene,141.25
ZEID0_YVOM4_SSUZA_MAO8N_YXBXH,103.71,115.71,person puts the box away on a shelf.,Same Scene,141.25
ZEID0_YVOM4_SSUZA_MAO8N_YXBXH,103.71,115.71,person putting the box on a shelf.,Same Scene,141.25
ZEID0_YVOM4_SSUZA_MAO8N_YXBXH,117.79,128.59,person playing on a phone.,Same Scene,141.25
ZEID0_YVOM4_SSUZA_MAO8N_YXBXH,114.29,123.09,person drinking from a glass.,Same Scene,141.25
KPNJ5_LJ0JS,16.5,21.5,another person walks in playing on a phone.,Same Scene,53.92
KPNJ5_LJ0JS,16.5,21.5,person playing a game on their phone.,Same Scene,53.92
KPNJ5_LJ0JS,12.5,17.6,another person walks through the doorway.,Same Scene,53.92
KPNJ5_LJ0JS,28.42,40.52,the person periodically takes a drink from a glass.,Same Scene,53.92
6ZSB2_YOVS5_6ALEL,0.0,4.8,a person runs into a hallway.,Same Scene,68.63
6ZSB2_YOVS5_6ALEL,0.6,7.2,person open a bag.,Same Scene,68.63
6ZSB2_YOVS5_6ALEL,25.35,33.45,person the stand up.,Same Scene,68.63
6ZSB2_YOVS5_6ALEL,35.55,42.65,person close the door.,Same Scene,68.63
6ZSB2_YOVS5_6ALEL,35.55,42.65,person leave through a doorway closing the door behind them.,Same Scene,68.63
6ZSB2_YOVS5_6ALEL,20.85,28.25,a person awakens on a floor.,Same Scene,68.63
6ZSB2_YOVS5_6ALEL,64.65,69.75,person begin eating it.,Same Scene,68.63
6ZSB2_YOVS5_6ALEL,62.05,67.05,person takes a bite of a sandwich.,Same Scene,68.63
6ZSB2_YOVS5_6ALEL,62.05,67.05,person take a sandwich.,Same Scene,68.63
6ZSB2_YOVS5_6ALEL,52.45,59.15,person finishing dressing themself.,Same Scene,68.63
6ZSB2_YOVS5_6ALEL,64.65,69.75,person start eating it.,Same Scene,68.63
8HHI3_QRLOG,21.9,28.0,a person laughs as they open a box.,Same Scene,59.91
8HHI3_QRLOG,0.0,6.0,a person opens a box.,Same Scene,59.91
8HHI3_QRLOG,1.8,7.9,the person takes some shoes from the box.,Same Scene,59.91
8HHI3_QRLOG,33.63,38.63,person they stand up.,Same Scene,59.91
8HHI3_QRLOG,27.33,36.53,person put the phone down.,Same Scene,59.91
8HHI3_QRLOG,33.63,38.63,person when they stand up they grab a broom.,Same Scene,59.91
42PMR_MT6C2_7ZTGM_J4U86_NEE6E,14.5,19.9,person takes a box.,Same Scene,147.92
42PMR_MT6C2_7ZTGM_J4U86_NEE6E,41.59,49.29,person open a window.,Same Scene,147.92
42PMR_MT6C2_7ZTGM_J4U86_NEE6E,39.49,44.39,person they put the pillow on a counter.,Same Scene,147.92
42PMR_MT6C2_7ZTGM_J4U86_NEE6E,41.59,49.29,person they open a window.,Same Scene,147.92
42PMR_MT6C2_7ZTGM_J4U86_NEE6E,38.79,42.49,a person runs in the room carrying a pillow.,Same Scene,147.92
42PMR_MT6C2_7ZTGM_J4U86_NEE6E,41.59,49.29,person open the window.,Same Scene,147.92
42PMR_MT6C2_7ZTGM_J4U86_NEE6E,38.79,43.59,a person runs into the kitchen holding a pillow.,Same Scene,147.92
42PMR_MT6C2_7ZTGM_J4U86_NEE6E,62.64,68.64,person waiting for dinner to finish cooking on the stove.,Same Scene,147.92
42PMR_MT6C2_7ZTGM_J4U86_NEE6E,62.64,68.64,a person cooking.,Same Scene,147.92
42PMR_MT6C2_7ZTGM_J4U86_NEE6E,112.3,120.2,person stops to take some medicine.,Same Scene,147.92
42PMR_MT6C2_7ZTGM_J4U86_NEE6E,105.7,111.6,the person laughs.,Same Scene,147.92
42PMR_MT6C2_7ZTGM_J4U86_NEE6E,119.54,125.24,a person is smiling at a picture on a desk.,Same Scene,147.92
42PMR_MT6C2_7ZTGM_J4U86_NEE6E,134.44,148.54,another person is awakening on the floor.,Same Scene,147.92
KS5VD_7EEF0_3GA59,14.0,23.6,person looks out a window.,Same Scene,73.55
KS5VD_7EEF0_3GA59,14.0,23.6,person look out a window.,Same Scene,73.55
KS5VD_7EEF0_3GA59,29.62,39.52,person start smiling at a picture that is near by.,Same Scene,73.55
KS5VD_7EEF0_3GA59,68.29,73.89,this person runs out of the room with their homework.,Same Scene,73.55
UFQK1_YMM1Z,21.7,28.0,person they close the cabinet door.,Same Scene,49.58
UFQK1_YMM1Z,0.0,8.5,a person cooks some food in a pot.,Same Scene,49.58
UFQK1_YMM1Z,0.0,8.5,a person stands at a stove cooking.,Same Scene,49.58
UFQK1_YMM1Z,0.0,8.5,a person is cooking at a stove.,Same Scene,49.58
UFQK1_YMM1Z,17.6,26.9,person puts the dish on a shelf in a cabinet.,Same Scene,49.58
UFQK1_YMM1Z,41.36,49.16,the person runs to the refrigerator.,Same Scene,49.58
I7MEA_UN6O9,4.9,9.6,person takes out a box.,Same Scene,52.83
I7MEA_UN6O9,0.0,5.8,person continues cooking.,Same Scene,52.83
I7MEA_UN6O9,2.2,7.3,person opens the refrigerator.,Same Scene,52.83
I7MEA_UN6O9,29.9,34.8,a person is throwing clothes on the floor.,Same Scene,52.83
I7MEA_UN6O9,29.9,34.8,the person is throwing clothes onto the floor.,Same Scene,52.83
E2EHR_BNEQL,0.0,3.9,a person is eating a sandwich.,Same Scene,77.59
E2EHR_BNEQL,26.92,46.92,a person is dressing in the laundry room.,Same Scene,77.59
E2EHR_BNEQL,41.22,53.62,person takes a drink from a cup.,Same Scene,77.59
E2EHR_BNEQL,41.22,53.62,person picking up the coffee cup to take a drink.,Same Scene,77.59
YXPTI_SCOML_9NRLA,1.3,12.4,a person puts some shoes.,Same Scene,80.88
YXPTI_SCOML_9NRLA,47.77,53.87,the person throws a pillow across the room.,Same Scene,80.88
YXPTI_SCOML_9NRLA,47.77,53.87,person throws the pillow somewhere.,Same Scene,80.88
YXPTI_SCOML_9NRLA,67.52,73.62,person eats it.,Same Scene,80.88
YXPTI_SCOML_9NRLA,67.52,73.62,person they stop to eat some food.,Same Scene,80.88
YXPTI_SCOML_9NRLA,53.92,57.02,a person puts clothes into a washing machine.,Same Scene,80.88
3EIRZ_XB4HN,0.2,10.2,person eating a sandwich.,Same Scene,51.75
3EIRZ_XB4HN,0.2,10.2,person eating foot.,Same Scene,51.75
3EIRZ_XB4HN,32.45,39.55,person closes the door.,Same Scene,51.75
SU8PN_V3DJ5_58YA5,5.8,14.3,they throw a book back at the other person.,Same Scene,80.54
SU8PN_V3DJ5_58YA5,0.0,6.0,person the people in the video were throwing a pillow.,Same Scene,80.54
SU8PN_V3DJ5_58YA5,14.3,21.6,that person is smiling because they think it is funny.,Same Scene,80.54
SU8PN_V3DJ5_58YA5,41.63,54.33,person eats it.,Same Scene,80.54
SU8PN_V3DJ5_58YA5,41.53,51.53,person takes a piece of food.,Same Scene,80.54
SU8PN_V3DJ5_58YA5,66.08,71.28,person takes a phone from the table.,Same Scene,80.54
SU8PN_V3DJ5_58YA5,53.58,66.38,a person is sitting on the couch.,Same Scene,80.54
9X6DL_YBW3D_K8RW9_IV8MD_LTQS9,0.0,6.5,person reading a book.,Same Scene,137.3
9X6DL_YBW3D_K8RW9_IV8MD_LTQS9,2.7,8.5,the person takes a picture of themselves with their phone.,Same Scene,137.3
9X6DL_YBW3D_K8RW9_IV8MD_LTQS9,27.35,35.65,person holding onto a bag of groceries.,Same Scene,137.3
9X6DL_YBW3D_K8RW9_IV8MD_LTQS9,35.05,49.25,person they awaken to start sweeping the floor.,Same Scene,137.3
9X6DL_YBW3D_K8RW9_IV8MD_LTQS9,49.65,57.65,another person runs past.,Same Scene,137.3
9X6DL_YBW3D_K8RW9_IV8MD_LTQS9,35.05,49.25,awakens when person a walks pass.,Same Scene,137.3
9X6DL_YBW3D_K8RW9_IV8MD_LTQS9,49.65,57.65,person a child runs past them.,Same Scene,137.3
9X6DL_YBW3D_K8RW9_IV8MD_LTQS9,71.56,78.46,another person turns on a light.,Same Scene,137.3
9X6DL_YBW3D_K8RW9_IV8MD_LTQS9,71.56,78.46,person turning on the light.,Same Scene,137.3
9X6DL_YBW3D_K8RW9_IV8MD_LTQS9,88.98,95.28,person starts eating.,Same Scene,137.3
9X6DL_YBW3D_K8RW9_IV8MD_LTQS9,88.98,95.28,person eat it.,Same Scene,137.3
9X6DL_YBW3D_K8RW9_IV8MD_LTQS9,80.88,86.28,a person is laughing.,Same Scene,137.3
9X6DL_YBW3D_K8RW9_IV8MD_LTQS9,88.98,95.28,person eating a sandwich on the stairs.,Same Scene,137.3
9X6DL_YBW3D_K8RW9_IV8MD_LTQS9,122.44,132.34,a person is sitting on a chair.,Same Scene,137.3
BALXZ_4CSXJ,0.0,4.0,a person runs down some stairs holding a phone.,Same Scene,40.59
BALXZ_4CSXJ,0.0,4.0,a person is running with their phone.,Same Scene,40.59
BALXZ_4CSXJ,2.0,10.0,person eating a sandwich.,Same Scene,40.59
BALXZ_4CSXJ,7.0,13.0,person open the door.,Same Scene,40.59
BALXZ_4CSXJ,7.0,13.0,person they open the door.,Same Scene,40.59
BALXZ_4CSXJ,22.58,27.78,the person throws the pillow down the staircase.,Same Scene,40.59
BALXZ_4CSXJ,22.58,27.78,person throws the pillow.,Same Scene,40.59
BALXZ_4CSXJ,16.88,26.88,a person is sitting on the staircase holding a pillow.,Same Scene,40.59
E64R4_Q01UB_4ZSAR,32.3,37.0,person closes door behind them.,Same Scene,107.12
E64R4_Q01UB_4ZSAR,30.8,36.4,person open door.,Same Scene,107.12
E64R4_Q01UB_4ZSAR,1.6,13.6,a person is dressing in their garage.,Same Scene,107.12
E64R4_Q01UB_4ZSAR,61.02,68.52,the person puts some shoes next to an open laptop.,Same Scene,107.12
E64R4_Q01UB_4ZSAR,36.12,50.62,a person is dressing by putting on a jacket.,Same Scene,107.12
E64R4_Q01UB_4ZSAR,104.24,108.04,person sit on a chair with a coffee cup.,Same Scene,107.12
E64R4_Q01UB_4ZSAR,104.24,108.04,person sit in a chair.,Same Scene,107.12
YPTHX_L8FFR_5B4HF,6.9,17.7,a person takes a phone from a bag.,Same Scene,95.05
YPTHX_L8FFR_5B4HF,6.9,17.7,person takes out a phone.,Same Scene,95.05
YPTHX_L8FFR_5B4HF,6.7,18.1,person the put the phone in their pocket.,Same Scene,95.05
YPTHX_L8FFR_5B4HF,58.42,68.02,person take a blanket from a chair.,Same Scene,95.05
YPTHX_L8FFR_5B4HF,68.17,78.17,a person walks through the doorway.,Same Scene,95.05
YPTHX_L8FFR_5B4HF,68.17,78.67,person drinking a cup of coffee.,Same Scene,95.05
YPTHX_L8FFR_5B4HF,68.17,78.67,person he walks through a door drinking from a cup.,Same Scene,95.05
6MJGP_M23X2_YWO77,0.0,4.2,person opening a laptop.,Same Scene,64.63
6MJGP_M23X2_YWO77,36.85,42.65,the person puts the bag into a cabinet.,Same Scene,64.63
6MJGP_M23X2_YWO77,28.15,33.65,a person runs into the garage.,Same Scene,64.63
6MJGP_M23X2_YWO77,43.25,49.25,person smiling at the camera.,Same Scene,64.63
6MJGP_M23X2_YWO77,48.55,54.35,a person is walking through the doorway holding a camera.,Same Scene,64.63
Z0KN7_2FECZ_L2DR0,0.0,7.1,a person sits on the floor watching a laptop.,Same Scene,91.59
Z0KN7_2FECZ_L2DR0,58.08,65.88,"person drink from a cup,.",Same Scene,91.59
Z0KN7_2FECZ_L2DR0,48.28,56.58,person they put a picture frame into a bag.,Same Scene,91.59
Z0KN7_2FECZ_L2DR0,57.58,63.48,person take a drink of water from a nearby glass.,Same Scene,91.59
Z0KN7_2FECZ_L2DR0,58.08,65.88,person start drinking from a glass of water.,Same Scene,91.59
Z0KN7_2FECZ_L2DR0,80.37,85.17,person throws the pillow.,Same Scene,91.59
Z0KN7_2FECZ_L2DR0,80.37,85.17,a person in a garage throws a pillow.,Same Scene,91.59
Z0KN7_2FECZ_L2DR0,69.97,74.97,person holding a vacuum.,Same Scene,91.59
RK4U5_CMD0M_AIT3V,25.0,30.0,person throws it on the floor.,Same Scene,87.96
RK4U5_CMD0M_AIT3V,47.08,60.08,person pours themselves a glass of water.,Same Scene,87.96
RK4U5_CMD0M_AIT3V,47.08,60.08,the person pours some liquid into a glass.,Same Scene,87.96
RK4U5_CMD0M_AIT3V,81.06,87.86,person opens a door.,Same Scene,87.96
GKVBS_5T9CK,31.6,37.6,person puts a tool on a shelf.,Same Scene,74.83
GKVBS_5T9CK,33.8,41.0,starts to take the bottom off .the person starts laughing.,Same Scene,74.83
GKVBS_5T9CK,31.6,37.6,person they put a tool on a shelf.,Same Scene,74.83
GKVBS_5T9CK,54.95,66.55,person drinks from a glass.,Same Scene,74.83
GKVBS_5T9CK,63.55,75.75,person dresses in a winter coat.,Same Scene,74.83
YJ888_7KEON,10.4,15.8,person while seated on a blanket.,Same Scene,58.79
YJ888_7KEON,10.4,15.8,person take out something to eat they look around.,Same Scene,58.79
YJ888_7KEON,0.0,12.9,a person opens a bag.,Same Scene,58.79
YJ888_7KEON,52.3,59.1,person puts a book on the floor.,Same Scene,58.79
YJ888_7KEON,52.3,59.1,person they put a book on the floor.,Same Scene,58.79
5Q3QB_6VT4U,7.1,12.3,person closes a door multiple times.,Same Scene,71.16
5Q3QB_6VT4U,7.1,12.3,person closing the door.,Same Scene,71.16
5Q3QB_6VT4U,43.58,48.98,person puts it on a shelf.,Same Scene,71.16
5Q3QB_6VT4U,35.58,47.58,a person plays on a phone.,Same Scene,71.16
